Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PACE/40,PIE,Season Type,Season
LOS ANGELES SPARKS,28,14,14,1134.0,94.5,91.9,2.6,59.8,0.94,15.7,35.5,64.0,50.4,23.3,47.4,51.1,92.65,77.21,53.6,Regular,1997
UTAH STARZZ,28,7,21,1130.0,84.4,98.3,-13.9,63.7,0.82,14.2,35.9,61.8,48.5,24.2,40.4,45.0,91.05,75.88,37.4,Regular,1997
NEW YORK LIBERTY,28,17,11,1135.0,89.4,86.3,3.1,68.4,0.9,16.0,37.2,62.3,49.7,25.0,44.0,48.2,90.44,75.37,54.1,Regular,1997
PHOENIX MERCURY,28,16,12,1124.0,90.8,85.9,5.0,66.6,0.92,14.7,36.0,64.8,49.5,22.4,41.1,47.2,90.35,75.29,54.7,Regular,1997
SACRAMENTO MONARCHS,28,10,18,1130.0,91.0,100.0,-9.0,55.0,0.71,13.4,40.1,60.7,50.2,26.2,44.2,48.7,90.01,75.01,39.5,Regular,1997
CLEVELAND ROCKERS,28,15,13,1135.0,92.9,90.6,2.3,62.9,0.87,15.7,35.2,65.9,51.3,24.9,46.4,51.5,89.44,74.54,53.3,Regular,1997
CHARLOTTE STING,28,15,13,1120.0,91.8,90.2,1.7,67.5,0.98,16.9,33.9,66.2,50.6,24.2,46.9,50.5,87.94,73.29,53.3,Regular,1997
HOUSTON COMETS,28,18,10,1130.0,97.8,89.2,8.6,54.8,0.78,13.6,38.0,62.2,50.0,24.0,47.2,52.3,87.42,72.85,56.0,Regular,1997
WASHINGTON MYSTICS,29,3,26,1165.0,83.8,103.2,-19.4,54.8,0.62,12.5,34.2,63.1,48.1,27.2,42.8,46.8,92.99,77.49,29.0,Regular,1998
UTAH STARZZ,30,8,22,1210.0,90.7,99.6,-8.9,61.9,0.89,15.3,32.4,65.2,49.1,23.5,45.4,49.7,91.42,76.18,42.9,Regular,1998
LOS ANGELES SPARKS,30,12,18,1205.0,93.6,95.5,-1.9,59.2,0.93,14.8,35.7,64.1,50.0,22.2,44.5,49.2,90.96,75.8,48.0,Regular,1998
DETROIT SHOCK,30,17,13,1200.0,93.3,92.5,0.8,56.0,0.88,14.0,35.8,68.5,52.0,21.9,43.7,48.4,89.68,74.73,49.9,Regular,1998
CHARLOTTE STING,30,18,12,1200.0,96.1,91.6,4.5,64.2,1.12,16.4,33.6,65.8,49.9,20.5,45.8,50.3,89.42,74.52,55.6,Regular,1998
CLEVELAND ROCKERS,30,20,10,1215.0,97.3,93.1,4.1,71.6,1.09,18.4,30.6,63.4,48.4,23.4,49.8,55.0,89.3,74.42,55.5,Regular,1998
PHOENIX MERCURY,30,19,11,1215.0,98.5,90.2,8.3,69.0,1.12,16.9,37.0,65.5,50.6,21.5,45.9,51.1,88.83,74.02,57.9,Regular,1998
NEW YORK LIBERTY,30,18,12,1210.0,93.2,89.5,3.7,67.7,1.02,16.5,36.0,68.1,51.7,22.7,45.1,49.9,87.37,72.81,54.4,Regular,1998
SACRAMENTO MONARCHS,29,7,22,1165.0,87.0,95.4,-8.4,63.2,0.88,15.1,37.0,65.0,50.5,24.2,42.6,46.3,87.06,72.55,41.4,Regular,1998
HOUSTON COMETS,30,27,3,1215.0,104.1,86.7,17.4,53.8,0.98,14.3,34.6,64.0,49.6,19.8,48.4,54.2,86.76,72.3,63.7,Regular,1998
SACRAMENTO MONARCHS,32,19,13,1280.0,99.0,93.3,5.6,58.9,0.98,14.6,39.5,65.0,52.0,21.0,45.5,50.3,90.68,75.56,55.1,Regular,1999
UTAH STARZZ,32,15,17,1300.0,97.2,102.2,-5.1,65.3,0.99,16.2,36.5,67.4,52.1,23.0,46.1,52.0,89.52,74.6,47.6,Regular,1999
LOS ANGELES SPARKS,32,20,12,1292.0,101.5,96.1,5.4,65.2,1.2,17.0,34.8,65.7,50.5,20.0,47.6,52.3,89.45,74.54,54.2,Regular,1999
DETROIT SHOCK,32,15,17,1295.0,92.9,95.6,-2.7,58.5,0.96,14.0,32.9,66.7,48.9,20.1,43.1,48.5,88.91,74.09,44.1,Regular,1999
CLEVELAND ROCKERS,32,7,25,1242.0,88.1,97.3,-9.2,63.9,0.9,15.5,33.9,65.4,49.8,23.9,43.8,48.1,86.01,71.67,42.7,Regular,1999
ORLANDO MIRACLE,32,15,17,1290.0,96.1,96.9,-0.8,58.9,0.9,14.7,36.1,62.1,49.0,22.7,46.6,51.0,85.23,71.02,48.4,Regular,1999
PHOENIX MERCURY,32,15,17,1275.0,96.2,96.0,0.2,67.1,1.11,16.0,36.1,64.2,49.9,20.4,43.4,49.1,85.01,70.84,49.9,Regular,1999
WASHINGTON MYSTICS,32,12,20,1295.0,92.0,97.9,-5.9,60.7,0.8,14.7,36.2,63.4,50.5,25.1,45.1,50.2,84.84,70.7,44.7,Regular,1999
HOUSTON COMETS,32,26,6,1285.0,104.4,91.4,13.1,59.3,1.1,15.8,35.1,63.1,49.9,19.9,48.6,54.1,84.66,70.55,61.9,Regular,1999
NEW YORK LIBERTY,32,18,14,1270.0,96.4,92.4,4.0,64.8,1.1,16.5,33.2,64.4,48.4,20.9,46.8,50.9,83.35,69.46,52.0,Regular,1999
CHARLOTTE STING,32,15,17,1285.0,95.8,97.2,-1.4,71.6,1.21,18.3,33.0,65.9,50.2,21.4,46.9,51.6,82.18,68.48,53.1,Regular,1999
MINNESOTA LYNX,32,15,17,1295.0,93.3,97.1,-3.7,70.2,1.2,16.9,34.5,64.6,48.6,20.0,44.0,47.7,80.71,67.26,44.1,Regular,1999
DETROIT SHOCK,32,14,18,1285.0,96.6,101.1,-4.5,57.9,0.95,15.0,37.6,62.3,49.7,22.0,45.7,50.9,89.95,74.96,46.3,Regular,2000
UTAH STARZZ,32,18,14,1280.0,100.6,101.3,-0.7,60.8,0.96,15.6,38.4,68.1,53.6,22.7,47.6,53.8,89.51,74.59,51.3,Regular,2000
LOS ANGELES SPARKS,32,28,4,1290.0,101.1,91.2,9.9,68.1,1.26,17.5,32.9,68.1,51.4,19.5,47.9,53.5,88.71,73.92,60.6,Regular,2000
PORTLAND FIRE,32,10,22,1305.0,91.2,98.0,-6.8,63.1,0.81,14.8,35.9,64.0,49.8,25.1,45.6,50.5,86.64,72.2,43.6,Regular,2000
SACRAMENTO MONARCHS,32,21,11,1280.0,102.4,95.4,7.0,64.7,1.24,17.0,40.1,62.6,51.2,20.1,47.5,51.4,85.69,71.41,56.7,Regular,2000
MINNESOTA LYNX,32,15,17,1285.0,96.4,95.9,0.5,64.3,1.0,15.9,31.0,65.0,47.7,21.8,47.6,52.4,85.11,70.93,48.6,Regular,2000
INDIANA FEVER,32,9,23,1285.0,97.2,100.6,-3.4,62.9,0.97,16.0,32.9,64.0,48.5,22.7,48.6,53.0,85.04,70.86,47.8,Regular,2000
CHARLOTTE STING,32,8,24,1295.0,95.5,106.0,-10.5,67.9,1.11,17.0,34.6,63.4,48.8,21.7,46.1,50.7,84.88,70.73,41.2,Regular,2000
HOUSTON COMETS,32,27,5,1295.0,109.1,90.8,18.4,55.4,1.12,15.8,35.1,66.9,52.2,19.4,51.6,56.9,84.21,70.18,64.1,Regular,2000
WASHINGTON MYSTICS,32,14,18,1280.0,97.8,99.8,-2.0,62.6,1.03,16.7,36.1,65.5,51.2,22.8,48.9,52.6,83.46,69.55,49.8,Regular,2000
ORLANDO MIRACLE,32,16,16,1260.0,97.7,99.4,-1.6,56.9,0.98,15.1,36.1,60.1,48.2,21.4,47.3,51.1,83.32,69.43,48.0,Regular,2000
PHOENIX MERCURY,32,20,12,1284.0,101.2,94.7,6.5,57.7,1.08,15.3,33.5,62.3,48.3,19.4,48.0,53.5,82.85,69.04,56.4,Regular,2000
CLEVELAND ROCKERS,32,17,15,1259.0,98.3,94.2,4.1,66.4,1.02,17.0,38.7,65.6,51.8,23.7,47.9,52.4,82.61,68.84,51.8,Regular,2000
NEW YORK LIBERTY,32,20,12,1285.0,98.0,92.5,5.5,60.2,1.01,15.7,34.0,65.0,49.8,21.6,47.4,52.0,82.05,68.37,54.7,Regular,2000
SEATTLE STORM,32,6,26,1295.0,83.1,98.1,-15.0,58.5,0.74,13.3,30.9,62.7,45.8,23.9,41.5,45.9,81.66,68.05,31.4,Regular,2000
MIAMI SOL,32,13,19,1295.0,84.8,92.5,-7.7,64.1,0.79,13.7,39.0,66.1,51.5,24.3,38.9,44.3,80.1,66.75,39.4,Regular,2000
LOS ANGELES SPARKS,32,28,4,1295.0,105.3,93.6,11.6,65.1,1.36,17.8,37.2,68.7,53.4,18.9,49.0,53.2,85.84,71.54,59.1,Regular,2001
SACRAMENTO MONARCHS,32,20,12,1305.0,99.0,92.4,6.6,66.7,1.13,16.8,37.8,64.8,51.7,21.3,46.5,51.1,85.2,71.0,56.4,Regular,2001
PHOENIX MERCURY,32,13,19,1290.0,90.1,95.0,-4.9,67.0,0.99,16.0,34.2,63.0,48.3,22.7,43.2,47.9,85.12,70.93,45.6,Regular,2001
ORLANDO MIRACLE,32,13,19,1290.0,93.5,96.6,-3.1,58.9,0.85,14.2,37.3,63.9,50.0,23.2,44.7,49.3,85.06,70.88,45.1,Regular,2001
PORTLAND FIRE,32,11,21,1305.0,90.2,95.3,-5.1,61.5,0.9,14.4,30.8,64.2,47.6,21.6,43.3,48.3,85.06,70.88,44.4,Regular,2001
UTAH STARZZ,32,19,13,1295.0,96.1,96.5,-0.4,64.6,1.06,16.4,34.7,67.0,52.0,21.5,46.0,51.4,84.66,70.55,53.0,Regular,2001
MINNESOTA LYNX,32,12,20,1295.0,91.7,94.8,-3.2,65.1,0.86,14.1,33.9,65.1,49.6,22.4,41.9,48.7,84.14,70.12,45.4,Regular,2001
INDIANA FEVER,32,10,22,1295.0,96.1,99.6,-3.5,60.1,0.93,15.0,32.9,64.6,48.7,21.9,46.1,51.7,83.38,69.48,46.5,Regular,2001
DETROIT SHOCK,32,10,22,1310.0,92.3,99.9,-7.6,60.6,0.94,14.9,34.4,67.6,49.9,21.9,44.2,48.9,83.36,69.47,42.9,Regular,2001
WASHINGTON MYSTICS,32,10,22,1300.0,86.4,92.7,-6.3,57.4,0.86,13.8,33.9,65.6,49.4,22.2,41.6,45.1,82.52,68.77,43.7,Regular,2001
NEW YORK LIBERTY,32,21,11,1280.0,99.0,95.4,3.6,66.4,1.27,18.1,30.4,65.7,48.3,20.0,49.9,52.8,81.84,68.2,54.9,Regular,2001
HOUSTON COMETS,32,19,13,1290.0,94.5,91.5,3.0,57.0,0.97,14.1,36.8,67.6,52.1,20.2,42.8,47.7,80.87,67.4,52.1,Regular,2001
SEATTLE STORM,32,10,22,1310.0,89.0,95.2,-6.2,59.8,0.96,13.9,32.5,63.0,46.7,20.0,41.4,46.0,78.98,65.82,41.3,Regular,2001
CHARLOTTE STING,32,18,14,1300.0,97.1,94.6,2.5,62.6,0.99,15.6,38.0,61.6,50.2,22.4,46.2,51.1,78.26,65.22,52.3,Regular,2001
MIAMI SOL,32,20,12,1315.0,91.7,88.7,3.0,61.9,1.04,15.7,33.4,65.4,49.4,21.0,43.8,48.1,78.02,65.02,54.4,Regular,2001
CLEVELAND ROCKERS,32,22,10,1285.0,96.5,85.9,10.6,65.9,1.13,16.9,37.1,66.8,52.3,21.4,46.1,50.3,77.68,64.73,61.1,Regular,2001
UTAH STARZZ,32,20,12,1290.0,100.3,98.5,1.8,56.7,0.92,14.4,38.3,64.6,52.1,21.7,46.4,53.0,89.12,74.26,53.5,Regular,2002
LOS ANGELES SPARKS,32,25,7,1295.0,101.9,93.1,8.8,65.4,1.13,17.1,36.1,68.2,53.0,21.5,49.4,53.6,89.07,74.22,57.7,Regular,2002
DETROIT SHOCK,32,9,23,1290.0,91.2,97.7,-6.5,62.4,0.88,14.7,38.0,66.0,52.0,23.3,42.8,47.9,86.25,71.88,45.5,Regular,2002
PORTLAND FIRE,32,16,16,1295.0,94.8,97.0,-2.2,59.3,1.0,15.3,35.3,64.1,49.4,21.3,45.8,49.9,85.45,71.21,47.7,Regular,2002
PHOENIX MERCURY,32,11,21,1280.0,92.4,100.6,-8.2,53.8,0.85,13.9,33.4,64.4,48.5,22.1,44.6,49.2,85.16,70.97,42.1,Regular,2002
SACRAMENTO MONARCHS,32,14,18,1315.0,93.4,98.3,-4.9,64.1,1.1,15.5,33.5,62.2,47.6,19.7,43.0,48.5,84.9,70.75,45.7,Regular,2002
ORLANDO MIRACLE,32,16,16,1305.0,99.0,98.6,0.4,55.2,0.98,14.3,34.5,60.4,47.2,20.0,46.0,51.3,83.92,69.93,48.2,Regular,2002
SEATTLE STORM,32,17,15,1290.0,97.4,93.9,3.5,64.7,1.08,16.1,37.1,64.1,50.0,21.2,45.4,50.0,83.48,69.57,50.9,Regular,2002
WASHINGTON MYSTICS,32,17,15,1283.0,96.6,95.6,1.0,64.0,1.13,16.6,34.2,66.5,50.5,20.6,46.5,50.3,82.27,68.56,52.0,Regular,2002
MINNESOTA LYNX,32,10,22,1295.0,91.8,96.2,-4.5,64.1,0.88,15.3,36.7,64.8,50.7,24.2,45.6,49.4,80.97,67.47,45.2,Regular,2002
INDIANA FEVER,32,16,16,1285.0,96.9,98.3,-1.3,61.1,1.02,14.9,34.2,64.3,48.7,20.2,45.0,50.4,80.85,67.38,49.8,Regular,2002
HOUSTON COMETS,32,24,8,1285.0,96.0,87.3,8.6,59.6,0.99,15.2,33.4,66.2,50.8,21.1,45.5,50.9,80.78,67.32,59.8,Regular,2002
MIAMI SOL,32,15,17,1295.0,94.2,96.3,-2.1,61.5,1.09,15.7,33.6,64.3,48.1,20.0,45.2,49.0,80.45,67.04,46.8,Regular,2002
CLEVELAND ROCKERS,32,10,22,1303.0,95.1,97.9,-2.7,63.3,1.06,15.9,34.0,68.8,51.3,20.7,45.0,50.2,79.9,66.59,48.2,Regular,2002
CHARLOTTE STING,32,18,14,1290.0,104.4,99.4,5.0,64.4,1.22,16.4,35.0,65.2,50.2,19.0,48.9,53.8,79.83,66.53,52.4,Regular,2002
NEW YORK LIBERTY,32,18,14,1290.0,98.2,94.8,3.4,64.2,1.08,16.7,34.0,63.8,49.4,21.5,48.5,52.5,79.11,65.92,53.4,Regular,2002
DETROIT SHOCK,34,25,9,1380.0,99.4,93.6,5.8,60.4,0.9,15.2,38.8,65.1,52.9,23.7,48.1,53.4,89.2,74.33,58.5,Regular,2003
LOS ANGELES SPARKS,34,24,10,1380.0,99.0,96.9,2.2,65.7,1.25,16.7,32.4,67.4,50.2,18.6,45.8,51.2,87.53,72.94,52.8,Regular,2003
SAN ANTONIO SILVER STARS,34,12,22,1365.0,89.1,98.0,-8.9,54.0,0.83,12.7,33.5,63.7,48.8,20.6,40.5,46.3,87.23,72.69,41.1,Regular,2003
CONNECTICUT SUN,34,18,16,1375.0,97.9,98.5,-0.6,60.2,1.2,15.4,32.7,65.0,48.9,17.8,45.3,50.0,85.2,71.0,49.3,Regular,2003
SACRAMENTO MONARCHS,34,19,15,1365.0,95.1,92.0,3.2,65.9,1.23,16.5,35.5,64.4,49.5,19.1,44.5,48.2,84.87,70.73,52.9,Regular,2003
WASHINGTON MYSTICS,34,9,25,1375.0,96.2,103.1,-6.9,63.4,1.23,16.4,35.5,65.1,49.5,19.1,44.5,48.3,84.58,70.49,42.7,Regular,2003
MINNESOTA LYNX,34,18,16,1370.0,99.5,98.3,1.1,66.3,1.04,16.9,38.2,65.0,52.0,23.3,48.8,52.9,84.14,70.12,51.8,Regular,2003
PHOENIX MERCURY,34,8,26,1385.0,87.6,94.5,-6.9,57.6,0.96,13.9,33.9,64.8,47.7,20.0,41.0,44.8,83.12,69.27,41.1,Regular,2003
SEATTLE STORM,34,18,16,1370.0,100.9,96.5,4.4,61.6,1.18,16.5,35.4,65.4,50.8,19.7,47.6,52.0,82.72,68.93,53.6,Regular,2003
CLEVELAND ROCKERS,34,17,17,1365.0,96.5,95.3,1.2,63.4,1.11,15.9,35.8,68.0,51.4,20.2,44.7,49.4,81.35,67.79,49.8,Regular,2003
INDIANA FEVER,34,16,18,1375.0,100.8,99.7,1.1,64.2,1.14,16.4,36.7,64.4,50.1,20.4,46.9,51.8,81.09,67.58,49.3,Regular,2003
HOUSTON COMETS,34,20,14,1365.0,97.4,93.3,4.1,56.2,1.03,14.9,31.3,68.4,50.7,19.5,46.2,51.5,80.84,67.37,55.3,Regular,2003
NEW YORK LIBERTY,34,16,18,1370.0,97.4,97.7,-0.4,63.9,1.12,16.6,30.7,64.6,48.0,20.4,47.6,51.9,80.78,67.31,50.2,Regular,2003
CHARLOTTE STING,34,18,16,1370.0,99.6,98.8,0.8,63.4,1.0,15.8,38.6,60.0,49.6,22.3,46.8,51.8,77.94,64.95,49.9,Regular,2003
LOS ANGELES SPARKS,34,25,9,1395.0,97.7,92.8,4.9,69.2,1.18,17.5,32.0,67.3,50.5,20.7,47.5,52.3,87.74,73.12,55.9,Regular,2004
DETROIT SHOCK,34,17,17,1370.0,94.9,96.0,-1.1,64.5,1.1,15.9,38.2,67.8,52.7,20.6,43.2,48.4,87.1,72.58,51.4,Regular,2004
WASHINGTON MYSTICS,34,17,17,1370.0,96.7,98.1,-1.4,53.5,1.1,14.2,32.6,66.0,48.8,17.6,44.3,48.9,84.7,70.58,47.3,Regular,2004
SEATTLE STORM,34,20,14,1365.0,101.2,94.2,6.9,63.2,1.11,16.2,36.4,65.9,51.0,20.7,47.2,52.5,84.61,70.51,55.7,Regular,2004
MINNESOTA LYNX,34,18,16,1370.0,90.2,91.9,-1.7,68.6,0.86,15.7,35.7,66.4,51.3,25.5,45.0,49.6,83.81,69.84,47.6,Regular,2004
CONNECTICUT SUN,34,18,16,1380.0,97.6,96.2,1.4,65.3,1.24,17.0,33.1,67.7,50.1,19.3,46.3,50.5,83.27,69.39,51.1,Regular,2004
SAN ANTONIO SILVER STARS,34,9,25,1375.0,92.4,99.8,-7.4,60.7,0.96,15.2,32.1,65.1,48.4,21.6,43.9,49.4,82.75,68.96,45.0,Regular,2004
PHOENIX MERCURY,34,17,17,1365.0,98.4,95.2,3.2,60.7,1.08,15.8,29.7,64.8,47.2,19.9,48.0,52.6,82.36,68.63,51.4,Regular,2004
SACRAMENTO MONARCHS,34,18,16,1380.0,97.9,94.8,3.1,59.4,1.07,15.4,39.3,64.8,51.4,20.5,45.3,49.4,82.17,68.48,52.0,Regular,2004
NEW YORK LIBERTY,34,18,16,1380.0,95.5,97.7,-2.2,65.8,1.07,16.6,30.7,65.0,48.8,21.5,48.0,52.0,81.88,68.23,48.7,Regular,2004
HOUSTON COMETS,34,13,21,1370.0,93.4,94.9,-1.5,56.5,0.93,14.2,33.1,66.6,50.1,20.7,44.5,49.4,81.67,68.06,49.2,Regular,2004
INDIANA FEVER,34,15,19,1370.0,95.9,97.4,-1.5,70.2,1.14,16.7,38.8,67.4,52.3,21.2,43.5,48.5,80.5,67.08,48.1,Regular,2004
CHARLOTTE STING,34,16,18,1380.0,95.7,99.1,-3.4,57.2,0.89,14.5,31.9,60.0,46.7,21.9,47.5,52.2,76.07,63.39,45.9,Regular,2004
SEATTLE STORM,34,20,14,1365.0,100.4,96.9,3.5,57.4,1.01,15.2,35.2,67.3,51.9,20.7,47.3,52.7,87.4,72.84,52.1,Regular,2005
DETROIT SHOCK,34,16,18,1385.0,90.5,92.0,-1.5,57.0,0.83,13.6,38.2,71.5,54.2,23.0,42.2,46.8,86.11,71.75,47.2,Regular,2005
LOS ANGELES SPARKS,34,17,17,1360.0,96.0,96.8,-0.7,63.1,1.12,16.3,33.5,64.8,48.9,20.3,45.8,50.1,85.5,71.25,48.5,Regular,2005
PHOENIX MERCURY,34,16,18,1360.0,97.6,97.6,0.0,66.5,1.06,16.2,35.1,65.3,50.2,21.4,45.9,51.4,85.29,71.07,51.1,Regular,2005
CONNECTICUT SUN,34,26,8,1360.0,101.9,93.5,8.4,62.6,1.27,17.0,32.3,67.0,50.6,18.6,48.4,53.1,85.22,71.01,57.9,Regular,2005
SACRAMENTO MONARCHS,34,25,9,1360.0,97.4,87.7,9.6,61.8,1.05,15.7,36.8,67.7,51.6,20.9,46.2,50.6,84.32,70.26,58.3,Regular,2005
MINNESOTA LYNX,34,14,20,1370.0,93.0,96.6,-3.6,66.3,0.99,16.0,33.8,65.3,49.6,22.5,45.6,50.0,83.14,69.28,48.0,Regular,2005
SAN ANTONIO SILVER STARS,34,7,27,1360.0,91.5,102.0,-10.4,56.7,0.81,13.9,30.3,63.9,47.8,22.9,44.7,50.5,82.84,69.03,40.9,Regular,2005
WASHINGTON MYSTICS,34,16,18,1380.0,96.8,98.3,-1.5,61.0,1.19,16.2,29.3,69.3,48.6,18.6,47.6,51.2,81.43,67.86,47.1,Regular,2005
HOUSTON COMETS,34,19,15,1375.0,99.5,97.8,1.7,54.3,1.1,14.8,32.4,66.8,49.8,18.3,46.4,51.9,80.88,67.4,53.0,Regular,2005
CHARLOTTE STING,34,6,28,1385.0,90.0,99.9,-9.9,63.9,0.92,15.2,35.0,61.6,47.8,23.0,43.1,47.9,80.82,67.35,40.8,Regular,2005
INDIANA FEVER,34,21,13,1385.0,94.1,92.0,2.1,62.9,1.03,15.3,34.8,67.1,50.0,20.7,43.9,48.9,80.11,66.76,52.3,Regular,2005
NEW YORK LIBERTY,34,18,16,1385.0,101.2,99.3,1.9,60.1,1.08,16.0,29.1,64.9,48.2,20.2,50.1,55.1,79.54,66.28,51.7,Regular,2005
PHOENIX MERCURY,33,17,16,1335.0,106.3,103.3,3.0,59.2,1.44,16.6,31.7,61.8,46.9,15.9,49.9,54.2,97.02,80.85,51.7,Regular,2006
CHARLOTTE STING,34,11,23,1365.0,90.8,95.2,-4.4,61.0,0.92,14.3,32.4,63.8,47.5,21.2,43.7,48.7,95.03,79.19,45.5,Regular,2006
WASHINGTON MYSTICS,34,18,16,1370.0,102.3,98.6,3.7,56.7,1.06,15.7,33.7,66.5,50.2,20.2,50.5,54.6,94.21,78.51,52.4,Regular,2006
MINNESOTA LYNX,34,10,24,1365.0,95.2,102.9,-7.7,52.0,0.93,13.7,33.6,65.0,49.5,20.0,46.1,50.2,93.31,77.76,42.0,Regular,2006
CONNECTICUT SUN,34,26,8,1375.0,100.6,90.8,9.8,64.2,1.22,17.0,33.2,68.7,52.1,19.3,48.2,53.4,93.02,77.51,60.0,Regular,2006
SEATTLE STORM,34,18,16,1360.0,100.6,98.2,2.5,53.5,0.9,14.5,35.1,66.5,51.6,21.7,49.0,54.2,92.61,77.18,52.4,Regular,2006
SAN ANTONIO SILVER STARS,34,13,21,1362.0,96.3,99.0,-2.8,59.0,1.11,15.0,32.9,66.7,49.5,18.6,44.8,49.5,92.51,77.09,46.8,Regular,2006
DETROIT SHOCK,34,23,11,1365.0,96.2,90.8,5.4,62.2,1.06,15.4,37.9,70.2,54.0,20.5,44.5,49.6,92.36,76.97,55.6,Regular,2006
LOS ANGELES SPARKS,34,25,9,1373.0,97.5,94.0,3.5,63.4,1.14,16.5,35.8,66.1,51.4,20.2,46.4,51.2,92.21,76.84,54.6,Regular,2006
HOUSTON COMETS,34,18,16,1385.0,95.3,93.0,2.3,57.3,0.94,15.0,32.1,67.9,50.9,21.5,48.3,52.3,91.23,76.03,52.7,Regular,2006
CHICAGO SKY,34,5,29,1360.0,89.9,104.2,-14.3,59.3,0.97,14.5,32.9,61.7,46.5,20.4,43.1,47.2,91.08,75.9,37.5,Regular,2006
